experiment,pioreactor_unit,timestamp,rate,timestamp_localtime,hours_since_experiment_created
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:18:41.230Z,0.0,2025-09-20 07:18:41.230,0.272222222222
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:18:46.230Z,-1.3230426e-05,2025-09-20 07:18:46.230,0.273611111111
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:18:51.230Z,-1.8640636e-05,2025-09-20 07:18:51.230,0.275
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:18:56.230Z,-1.7905718e-05,2025-09-20 07:18:56.230,0.276388888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:19:01.231Z,3.6603635e-05,2025-09-20 07:19:01.231,0.277777777778
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:19:06.230Z,6.44725e-06,2025-09-20 07:19:06.230,0.279166666667
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:19:11.231Z,5.5392886e-05,2025-09-20 07:19:11.231,0.280555555556
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:19:16.230Z,1.187044e-06,2025-09-20 07:19:16.230,0.281944444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:19:21.230Z,1.316329e-06,2025-09-20 07:19:21.230,0.283333333333
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:19:26.230Z,-0.000189463239,2025-09-20 07:19:26.230,0.284722222222
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:19:31.231Z,-0.000195258482,2025-09-20 07:19:31.231,0.286111111111
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:19:36.230Z,-0.000290135265,2025-09-20 07:19:36.230,0.2875
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:19:41.230Z,-0.000437822109,2025-09-20 07:19:41.230,0.288888888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:19:46.230Z,-0.000672681274,2025-09-20 07:19:46.230,0.290277777778
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:19:51.230Z,-0.000636055914,2025-09-20 07:19:51.230,0.291666666667
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:19:56.231Z,-0.000736894809,2025-09-20 07:19:56.231,0.293055555556
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:20:01.231Z,-0.00047942835,2025-09-20 07:20:01.231,0.294444444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:20:06.231Z,-0.000323808276,2025-09-20 07:20:06.231,0.295833333333
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:20:11.230Z,-0.00010663196,2025-09-20 07:20:11.230,0.297222222222
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:20:16.231Z,0.000132216834,2025-09-20 07:20:16.231,0.298611111111
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:20:21.231Z,0.000520849138,2025-09-20 07:20:21.231,0.3
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:20:26.230Z,0.000704029376,2025-09-20 07:20:26.230,0.301388888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:20:31.230Z,0.000938553221,2025-09-20 07:20:31.230,0.302777777778
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:20:36.231Z,0.000981345047,2025-09-20 07:20:36.231,0.304166666667
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:20:41.230Z,0.001189064575,2025-09-20 07:20:41.230,0.305555555556
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:20:46.231Z,0.001316522562,2025-09-20 07:20:46.231,0.306944444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:20:51.231Z,0.001561844405,2025-09-20 07:20:51.231,0.308333333333
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:20:56.231Z,0.001668164748,2025-09-20 07:20:56.231,0.309722222222
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:21:01.231Z,0.001772938208,2025-09-20 07:21:01.231,0.311111111111
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:21:06.231Z,0.002246035238,2025-09-20 07:21:06.231,0.3125
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:21:11.231Z,0.002540113939,2025-09-20 07:21:11.231,0.313888888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:21:16.230Z,0.002985177989,2025-09-20 07:21:16.230,0.315277777778
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:21:21.231Z,0.003387036175,2025-09-20 07:21:21.231,0.316666666667
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:21:26.230Z,0.003745643812,2025-09-20 07:21:26.230,0.318055555556
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:21:31.232Z,0.004012626071,2025-09-20 07:21:31.232,0.319444444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:21:36.231Z,0.004187230131,2025-09-20 07:21:36.231,0.320833333333
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:21:41.231Z,0.004486924172,2025-09-20 07:21:41.231,0.322222222222
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:21:46.231Z,0.004718080513,2025-09-20 07:21:46.231,0.323611111111
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:21:51.231Z,0.005115620207,2025-09-20 07:21:51.231,0.325
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:21:56.231Z,0.005324365125,2025-09-20 07:21:56.231,0.326388888889
